timestamp,subject_id,frame,global_distress,face_confidence,pain_index,fear_index,fatigue_index,agitation_index,tension_index,respiratory_index,au4,au5,au6,au7,au9,au10,au12,au15,au17,au20,au23,au24,au25,au26,au43,mar,episode_pain,episode_agitation,episode_fatigue,episode_fear,episode_eye_closure,gaze_yaw,gaze_pitch,gaze_variance,fixation_duration,recent_saccades,mean_gaze_speed,max_gaze_speed,eye_contact_ratio,behavior_state,baseline_ready
1781858683.7112,subject_01,1,39.25,0.0,57.86,28.79,36.77,12.44,56.42,16.6,0.9149,0.0679,0.3627,0.0,0.5532,0.0,0.3148,0.1217,0.0,0.7099,0.3946,0.9686,0.0,0.0,0.4838,0.0031,0,0,0,0,0,-0.3965,-0.0163,0.0,0.0,0,0.0,0,0.0,alert,0
1781858683.8638,subject_01,2,38.68,0.413,55.73,26.96,35.62,18.02,56.88,13.92,0.9193,0.0402,0.3372,0.0,0.4639,0.0,0.292,0.1516,0.0,0.6946,0.3965,0.9863,0.0,0.0,0.5089,0.0013,0,0,0,0,0,-0.2922,-0.0523,0.003,0.0,1,0.0552,0.1103,0.0,alert,0
1781858683.9354,subject_01,3,38.63,0.492,56.75,25.88,40.24,12.86,56.0,13.18,0.9048,0.0,0.3567,0.0,0.4392,0.0,0.3108,0.1679,0.0,0.7072,0.3945,0.9648,0.0,0.0,0.5694,0.0034,0,0,0,0,0,-0.2984,-0.0422,0.0025,0.0333,1,0.0407,0.1103,0.0,alert,0
1781858684.1353,subject_01,4,44.93,0.552,64.28,24.43,69.22,13.12,51.63,12.51,0.7923,0.0,0.362,0.0,0.4169,0.0,0.2513,0.1402,0.0,0.6675,0.3923,0.9391,0.0,0.0,1.0,0.0061,0,0,0,0,0,-0.156,-0.0247,0.0075,0.0,2,0.0664,0.1434,0.25,eye_closed,0
1781858684.1978,subject_01,5,36.28,0.579,47.02,36.49,32.94,17.03,55.37,13.18,0.8784,0.317,0.3057,0.0,0.4394,0.0,0.277,0.1368,0.0,0.6847,0.3962,0.9818,0.0,0.0,0.2573,0.0018,0,0,0,0,0,-0.1123,-0.0135,0.0109,0.0,2,0.0621,0.1434,0.4,alert,0
1781858684.2712,subject_01,6,35.28,0.615,46.23,36.23,32.68,13.41,54.35,13.12,0.8453,0.3215,0.3133,0.0,0.4373,0.0,0.2734,0.1464,0.0,0.6823,0.3976,0.9886,0.0,0.0,0.2532,0.0011,0,0,0,0,0,-0.0776,0.0223,0.0136,0.0,2,0.0601,0.1434,0.5,alert,0
1781858684.3267,subject_01,7,35.26,0.642,46.42,36.81,31.64,13.4,53.51,13.87,0.8212,0.3256,0.3239,0.0,0.4622,0.0,0.2913,0.1397,0.0,0.6942,0.3975,0.9889,0.0,0.0,0.2494,0.0011,0,0,0,0,0,-0.1065,0.0389,0.0138,0.0,2,0.0563,0.1434,0.5714,alert,0
1781858684.3956,subject_01,8,35.33,0.67,46.71,36.85,31.14,13.36,53.72,14.07,0.8231,0.3186,0.3204,0.0,0.4691,0.0,0.3093,0.1458,0.0,0.7062,0.3974,0.9986,0.0,0.0,0.2558,0.0001,0,0,0,0,0,-0.1114,0.0538,0.0135,0.0,2,0.0512,0.1434,0.625,alert,0
1781858684.4796,subject_01,9,35.83,0.698,48.6,33.95,32.68,12.95,54.88,13.92,0.8566,0.2663,0.3199,0.0,0.464,0.0,0.2654,0.1194,0.0,0.6769,0.3977,0.9968,0.0,0.0,0.3033,0.0003,0,0,0,0,0,-0.0837,0.0056,0.0132,0.0,2,0.0517,0.1434,0.6667,alert,0
1781858684.5491,subject_01,10,36.93,0.716,50.82,33.18,34.52,13.18,55.55,14.59,0.8753,0.2105,0.317,0.0,0.4864,0.0,0.3163,0.1154,0.0,0.7108,0.3985,0.9964,0.0,0.0,0.3541,0.0003,0,0,0,0,0,-0.0853,-0.013,0.0127,0.0,2,0.0484,0.1434,0.7,alert,0
1781858684.615,subject_01,11,43.27,0.724,61.66,26.17,52.04,19.25,56.01,14.75,0.8971,0.0,0.3626,0.0,0.4917,0.0,0.2977,0.0862,0.0,0.6985,0.3964,0.98,0.0,0.0,0.7148,0.002,0,0,0,0,0,-0.1892,-0.1516,0.0134,0.0,3,0.0597,0.1732,0.7273,eye_closed,0
1781858684.6655,subject_01,12,43.08,0.741,60.85,26.11,57.91,14.59,55.61,14.32,0.88,0.0,0.3315,0.0,0.4772,0.0,0.2957,0.0841,0.0,0.6971,0.398,0.9906,0.0,0.0,0.7454,0.0009,0,0,0,0,0,-0.1766,-0.1697,0.0141,0.0333,3,0.0566,0.1732,0.75,eye_closed,0
1781858684.7158,subject_01,13,46.87,0.746,65.3,26.57,68.55,19.42,53.96,14.41,0.8326,0.0,0.3337,0.0,0.4802,0.0,0.2948,0.0785,0.0,0.6966,0.3997,0.9882,0.0,0.0,0.9655,0.0012,0,0,0,0,0,-0.2231,-0.2141,0.0155,0.0667,3,0.0572,0.1732,0.7692,eye_closed,0
1781858684.7684,subject_01,14,48.67,0.737,66.29,29.54,68.83,29.7,47.34,15.18,0.7827,0.0,0.3631,0.0,0.506,0.0,0.3623,0.0406,0.0,0.7415,0.3613,0.7275,0.0,0.0,1.0,0.0261,0,0,0,0,0,-0.0896,-0.3208,0.02,0.0,4,0.0653,0.1732,0.7143,eye_closed,0
1781858684.8189,subject_01,15,45.12,0.7,55.97,31.41,50.99,47.46,47.83,12.68,0.8037,0.0,0.3229,0.0,0.4225,0.0,0.32,0.0299,0.0,0.7133,0.3609,0.7117,0.0,0.0,0.6897,0.028,1,0,0,0,0,-0.1994,-0.6403,0.0394,0.0,5,0.0835,0.3378,0.6667,eye_closed,0
1781858684.8774,subject_01,16,40.25,0.697,51.75,36.04,48.01,23.37,46.43,13.8,0.8435,0.1173,0.3278,0.0,0.46,0.0,0.3283,0.0241,0.0,0.7189,0.3402,0.56,0.0087,0.0,0.4388,0.0427,1,0,0,0,0,-0.179,-0.6307,0.0533,0.0,5,0.0797,0.3378,0.625,alert,0
1781858684.9304,subject_01,17,39.27,0.693,50.52,36.91,45.84,21.36,46.17,13.52,0.8493,0.1694,0.3294,0.0,0.4508,0.0,0.2802,0.0151,0.0,0.6868,0.336,0.5363,0.0139,0.0,0.3915,0.0458,1,0,0,0,0,-0.1879,-0.6721,0.0661,0.0,5,0.0775,0.3378,0.5882,alert,0
1781858684.9768,subject_01,18,39.58,0.692,50.1,37.65,44.55,20.23,52.76,14.04,0.8399,0.1925,0.3259,0.0,0.4679,0.0,0.2797,0.0698,0.0,0.6865,0.3916,0.9046,0.0,0.0,0.3705,0.0094,1,0,0,0,0,-0.1392,-0.6414,0.0743,0.0,5,0.0764,0.3378,0.5556,alert,0
1781858685.0258,subject_01,19,39.36,0.698,49.5,40.13,39.14,21.76,54.4,14.38,0.8687,0.2915,0.3518,0.0,0.4793,0.0,0.2487,0.0809,0.0,0.6658,0.396,0.9397,0.0,0.0,0.2804,0.006,1,0,0,0,0,-0.1344,-0.5617,0.0772,0.0,5,0.0765,0.3378,0.5263,alert,0
1781858685.0893,subject_01,20,41.0,0.709,54.54,33.56,45.62,22.68,51.39,14.97,0.8672,0.1042,0.3647,0.0,0.4991,0.0,0.2601,0.0627,0.0,0.6734,0.3726,0.7817,0.0,0.0,0.4507,0.0217,1,0,0,0,0,-0.227,-0.6221,0.0815,0.0,5,0.0782,0.3378,0.5,alert,0
1781858685.1471,subject_01,21,44.48,0.728,60.9,30.2,60.85,21.0,49.08,14.49,0.8298,0.0,0.3684,0.0,0.4831,0.0,0.3035,0.0483,0.0,0.7024,0.3617,0.7333,0.0,0.0,0.7546,0.0261,1,0,0,0,0,-0.2157,-0.5476,0.0821,0.0,5,0.0781,0.3378,0.4762,eye_closed,0
1781858685.1971,subject_01,22,48.32,0.743,66.25,28.5,72.25,22.39,51.46,15.17,0.7726,0.0,0.3715,0.0,0.5058,0.0,0.2524,0.0759,0.0,0.6682,0.3968,0.9668,0.0,0.0,1.0,0.0033,1,0,0,0,0,-0.1811,-0.4341,0.0799,0.0,6,0.08,0.3378,0.4545,eye_closed,0
1781858685.2474,subject_01,23,47.97,0.764,66.53,28.35,72.77,22.6,45.82,15.42,0.7557,0.0,0.3917,0.0,0.5139,0.0,0.2977,0.0257,0.0,0.6984,0.3543,0.7009,0.0,0.0,1.0,0.0294,1,0,0,0,0,-0.145,-0.2271,0.0765,0.0,7,0.0856,0.3378,0.4783,eye_closed,0
