timestamp,subject_id,frame,global_distress,face_confidence,pain_index,fear_index,fatigue_index,agitation_index,tension_index,respiratory_index,au4,au5,au6,au7,au9,au10,au12,au15,au17,au20,au23,au24,au25,au26,au43,mar,episode_pain,episode_agitation,episode_fatigue,episode_fear,episode_eye_closure,gaze_yaw,gaze_pitch,gaze_variance,fixation_duration,recent_saccades,mean_gaze_speed,max_gaze_speed,eye_contact_ratio,behavior_state,baseline_ready
1781857874.1918,subject_01,1,41.63,0.0,62.36,36.8,35.57,10.87,52.42,20.75,0.884,0.0972,0.4617,0.0,0.6916,0.0,0.6879,0.0057,0.0,0.9586,0.3742,0.8085,0.0,0.0,0.4571,0.0163,0,0,0,0,0,-0.3437,0.0121,0.0,0.0,0,0.0,0,0.0,alert,0
1781857874.3599,subject_01,2,41.01,0.429,58.77,38.36,32.96,15.66,54.47,19.47,0.8459,0.113,0.4129,0.0,0.6492,0.0,0.7924,0.0022,0.0,1.0,0.3984,0.9933,0.0,0.0,0.4427,0.0006,0,0,0,0,0,-0.2739,-0.0533,0.0023,0.0333,0,0.0478,0.0956,0.0,alert,0
1781857874.4425,subject_01,3,40.43,0.509,58.16,37.25,35.31,12.88,54.52,18.11,0.8477,0.0841,0.4061,0.0,0.6035,0.0,0.7383,0.0058,0.0,0.9922,0.3987,0.9923,0.0,0.0,0.469,0.0006,0,0,0,0,0,-0.2615,-0.0861,0.003,0.0667,0,0.0436,0.0956,0.0,alert,0
1781857874.497,subject_01,4,40.65,0.567,58.82,36.9,35.64,12.29,54.58,18.81,0.8479,0.0775,0.4027,0.0,0.6271,0.0,0.7934,0.0099,0.0,1.0,0.3981,0.9971,0.0,0.0,0.475,0.0002,0,0,0,0,0,-0.239,-0.0436,0.0028,0.1,0,0.0447,0.0956,0.25,alert,0
1781857874.6705,subject_01,5,40.6,0.609,58.57,37.85,34.64,12.11,54.66,19.45,0.85,0.1045,0.394,0.0,0.6484,0.0,0.8229,0.014,0.0,1.0,0.3984,0.9969,0.0,0.0,0.4505,0.0002,0,0,0,0,0,-0.2559,-0.0535,0.0023,0.1333,0,0.0397,0.0956,0.2,alert,0
1781857874.7338,subject_01,6,39.63,0.641,55.74,40.52,30.95,13.7,55.98,17.52,0.8926,0.1834,0.3743,0.0,0.5841,0.0,0.7469,0.1277,0.0,0.9979,0.398,0.9856,0.0,0.0,0.3787,0.0012,0,0,0,0,0,-0.1278,-0.0333,0.005,0.0,1,0.0547,0.1297,0.3333,alert,0
1781857874.7962,subject_01,7,39.43,0.672,55.7,40.45,31.75,11.81,55.97,17.39,0.8881,0.1805,0.3787,0.0,0.5796,0.0,0.752,0.1066,0.0,1.0,0.3975,0.9969,0.0,0.0,0.3813,0.0003,0,0,0,0,0,-0.1279,-0.0247,0.0061,0.0333,1,0.0481,0.1297,0.4286,alert,0
1781857874.8491,subject_01,8,39.65,0.7,56.46,40.33,32.09,10.93,56.11,17.77,0.8931,0.1789,0.3903,0.0,0.5922,0.0,0.759,0.1123,0.0,1.0,0.3983,0.9932,0.0,0.0,0.3828,0.0006,0,0,0,0,0,-0.1268,-0.0148,0.0067,0.0667,1,0.0433,0.1297,0.5,alert,0
1781857874.918,subject_01,9,40.19,0.721,57.56,39.54,32.95,11.76,55.89,18.21,0.8887,0.1526,0.3996,0.0,0.6072,0.0,0.7493,0.126,0.0,0.9995,0.3985,0.988,0.0,0.0,0.4068,0.001,0,0,0,0,0,-0.1444,-0.0307,0.0065,0.1,1,0.0411,0.1297,0.5556,alert,0
1781857875.0101,subject_01,10,41.56,0.746,60.45,34.64,37.66,14.04,55.81,18.67,0.8886,0.0136,0.3742,0.0,0.6222,0.0,0.7687,0.1069,0.0,1.0,0.3969,0.9855,0.0,0.0,0.5331,0.0012,0,0,0,0,0,-0.1825,-0.0326,0.0059,0.1333,1,0.0408,0.1297,0.6,alert,0
