timestamp,subject_id,frame,global_distress,face_confidence,pain_index,fear_index,fatigue_index,agitation_index,tension_index,respiratory_index,au4,au5,au6,au7,au9,au10,au12,au15,au17,au20,au23,au24,au25,au26,au43,mar,episode_pain,episode_agitation,episode_fatigue,episode_fear,episode_eye_closure,gaze_yaw,gaze_pitch,gaze_variance,fixation_duration,recent_saccades,mean_gaze_speed,max_gaze_speed,eye_contact_ratio,behavior_state,baseline_ready
1781855791.3354,subject_01,1,37.6,0.0,55.26,28.54,36.4,10.44,56.09,13.42,0.9185,0.077,0.3694,0.0,0.4473,0.0,0.352,0.116,0.0,0.7346,0.3936,0.9401,0.0,0.0,0.4754,0.0058,0,0,0,0,0,-0.2175,-0.0368,0.0,0.0,0,0.0,0,1.0,alert,0
1781855791.5042,subject_01,2,37.01,0.412,52.47,30.69,30.79,16.52,56.93,12.52,0.9149,0.1693,0.375,0.0,0.4172,0.0,0.306,0.1273,0.0,0.704,0.3985,0.9966,0.0,0.0,0.3915,0.0003,0,0,0,0,0,-0.2987,-0.1689,0.006,0.0,1,0.0776,0.1551,0.5,alert,0
1781855791.5811,subject_01,3,36.94,0.494,52.91,31.7,32.43,12.07,57.42,12.44,0.9297,0.1656,0.3773,0.0,0.4147,0.0,0.3601,0.1425,0.0,0.7401,0.3978,0.9961,0.0,0.0,0.3949,0.0004,0,0,0,0,0,-0.287,-0.1594,0.0049,0.0333,1,0.0567,0.1551,0.3333,alert,0
1781855791.7811,subject_01,4,36.88,0.55,52.93,31.95,32.85,11.09,57.22,12.52,0.9285,0.1607,0.3719,0.0,0.4174,0.0,0.3813,0.1474,0.0,0.7542,0.3967,0.9866,0.0,0.0,0.3994,0.0013,0,0,0,0,0,-0.2939,-0.1646,0.0042,0.0667,1,0.0447,0.1551,0.25,alert,0
1781855791.8431,subject_01,5,37.21,0.589,52.84,33.15,31.05,12.59,58.35,13.6,0.9545,0.1928,0.3356,0.0,0.4535,0.0,0.3865,0.1395,0.0,0.7577,0.3982,0.999,0.0,0.0,0.3702,0.0001,0,0,0,0,0,-0.1203,-0.0663,0.0078,0.0,2,0.0757,0.1995,0.4,alert,0
1781855791.9014,subject_01,6,36.79,0.619,51.9,34.18,30.27,12.02,58.35,13.22,0.9539,0.2204,0.3363,0.0,0.4408,0.0,0.3865,0.1332,0.0,0.7577,0.3988,0.9994,0.0,0.0,0.3451,0.0001,0,0,0,0,0,-0.1706,-0.0653,0.0077,0.0333,2,0.0715,0.1995,0.5,alert,0
1781855791.9676,subject_01,7,36.72,0.645,51.59,34.95,29.37,12.33,58.39,13.25,0.958,0.2421,0.3388,0.0,0.4417,0.0,0.3877,0.1408,0.0,0.7585,0.3994,0.9919,0.0,0.0,0.3253,0.0008,0,0,0,0,0,-0.154,-0.0368,0.008,0.0667,2,0.0659,0.1995,0.5714,alert,0
1781855792.029,subject_01,8,36.58,0.675,51.2,36.0,28.46,12.01,58.45,13.43,0.9623,0.2645,0.3329,0.0,0.4477,0.0,0.4022,0.1328,0.0,0.7681,0.3997,0.985,0.0,0.0,0.305,0.0014,0,0,0,0,0,-0.1604,-0.0293,0.0079,0.1,2,0.0589,0.1995,0.625,alert,0
1781855792.0905,subject_01,9,36.59,0.695,50.98,36.82,28.07,11.98,58.56,13.57,0.9665,0.2757,0.3256,0.0,0.4524,0.0,0.4239,0.1467,0.0,0.7826,0.3996,0.983,0.0,0.0,0.2948,0.0016,0,0,0,0,0,-0.1528,-0.0267,0.0078,0.1333,2,0.0533,0.1995,0.6667,alert,0
1781855792.1515,subject_01,10,36.6,0.715,51.36,35.59,28.61,12.09,58.58,13.23,0.9708,0.2622,0.3355,0.0,0.4411,0.0,0.3833,0.1398,0.0,0.7555,0.3991,0.9753,0.0,0.0,0.3071,0.0023,0,0,0,0,0,-0.1211,-0.055,0.0077,0.1667,2,0.0522,0.1995,0.7,alert,0
1781855792.2123,subject_01,11,35.96,0.737,49.81,37.91,25.58,11.95,58.87,13.2,0.9748,0.3359,0.3373,0.0,0.4401,0.0,0.3703,0.1373,0.0,0.7469,0.3996,0.9839,0.0,0.0,0.2401,0.0015,0,0,0,0,0,-0.1144,-0.0461,0.0077,0.2,2,0.0485,0.1995,0.7273,alert,0
1781855792.2718,subject_01,12,36.06,0.754,49.94,37.78,25.81,12.13,59.03,13.17,0.9753,0.329,0.3368,0.0,0.439,0.0,0.373,0.1297,0.0,0.7487,0.3995,0.9936,0.0,0.0,0.2464,0.0006,0,0,0,0,0,-0.1048,-0.0544,0.0077,0.2333,2,0.0455,0.1995,0.75,alert,0
1781855792.3248,subject_01,13,36.03,0.769,49.92,37.42,25.59,12.55,59.17,13.1,0.9804,0.3318,0.3361,0.0,0.4368,0.0,0.3511,0.1322,0.0,0.7341,0.3997,0.9907,0.0,0.0,0.2438,0.0009,0,0,0,0,0,-0.1313,-0.034,0.0074,0.2667,2,0.0446,0.1995,0.7692,alert,0
1781855792.3727,subject_01,14,36.08,0.778,49.87,37.19,26.0,12.63,59.34,13.15,0.9844,0.3254,0.3224,0.0,0.4384,0.0,0.3539,0.1157,0.0,0.736,0.4,0.9927,0.0,0.0,0.2496,0.0007,0,0,0,0,0,-0.1382,-0.0117,0.0072,0.3,2,0.043,0.1995,0.7857,alert,0
1781855792.4216,subject_01,15,35.87,0.812,49.27,39.36,23.16,13.13,59.35,13.41,0.988,0.3762,0.3324,0.0,0.4468,0.0,0.376,0.117,0.0,0.7507,0.3978,0.9884,0.0,0.0,0.2034,0.0011,1,0,0,0,0,-0.1402,-0.0457,0.0068,0.3333,2,0.0425,0.1995,0.8,alert,0
1781855792.5053,subject_01,16,36.28,0.813,50.44,36.16,27.06,12.64,59.37,13.08,0.9853,0.295,0.3191,0.0,0.4359,0.0,0.3603,0.1169,0.0,0.7402,0.3998,0.9924,0.0,0.0,0.2773,0.0007,1,0,0,0,0,-0.1601,-0.0174,0.0066,0.3667,2,0.042,0.1995,0.8125,alert,0
1781855792.6091,subject_01,17,36.21,0.822,49.94,38.06,25.2,13.41,59.01,13.29,0.9811,0.3278,0.326,0.0,0.4431,0.0,0.3961,0.1024,0.0,0.764,0.3972,0.9828,0.0,0.0,0.2475,0.0016,1,0,0,0,0,-0.1497,-0.0338,0.0063,0.4,2,0.0406,0.1995,0.8235,alert,0
1781855792.6644,subject_01,18,36.89,0.831,50.12,39.45,21.37,18.91,59.05,14.79,0.977,0.3642,0.3206,0.0,0.4928,0.0,0.4062,0.1086,0.0,0.7708,0.3995,0.991,0.0,0.0,0.2144,0.0008,1,0,0,0,0,-0.1559,-0.0024,0.0061,0.4333,2,0.0402,0.1995,0.8333,alert,0
1781855792.7163,subject_01,19,35.75,0.825,48.98,39.26,22.65,13.74,59.06,13.56,0.9802,0.3829,0.3298,0.0,0.4519,0.0,0.3642,0.0945,0.0,0.7428,0.3985,0.986,0.0,0.0,0.1974,0.0013,1,0,0,0,0,-0.1243,-0.028,0.0059,0.4667,2,0.0402,0.1995,0.8421,alert,0
1781855792.7733,subject_01,20,35.77,0.825,49.54,39.4,22.88,11.28,59.91,14.02,1.0,0.399,0.3316,0.0,0.4674,0.0,0.3406,0.118,0.0,0.7271,0.3997,0.9944,0.0,0.0,0.1827,0.0005,1,0,0,0,0,-0.1366,-0.0144,0.0058,0.5,2,0.0391,0.1995,0.85,alert,0
1781855792.8271,subject_01,21,36.09,0.818,49.9,36.44,23.9,15.22,59.66,13.22,0.994,0.343,0.3276,0.0,0.4408,0.0,0.2907,0.0966,0.0,0.6938,0.3994,0.9924,0.0,0.0,0.2337,0.0007,1,0,0,0,0,-0.1009,-0.0002,0.0058,0.5333,2,0.0391,0.1995,0.8571,alert,0
