timestamp,subject_id,frame,global_distress,face_confidence,pain_index,fear_index,fatigue_index,agitation_index,tension_index,respiratory_index,au4,au5,au6,au7,au9,au10,au12,au15,au17,au20,au23,au24,au25,au26,au43,mar,episode_pain,episode_agitation,episode_fatigue,episode_fear,episode_eye_closure,gaze_yaw,gaze_pitch,gaze_variance,fixation_duration,recent_saccades,mean_gaze_speed,max_gaze_speed,eye_contact_ratio,behavior_state,baseline_ready
1782322303.2156,subject_01,1,23.77,0.0,12.21,24.06,75.6,14.08,24.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.1523,0.0,0.636,0.3959,0.9657,0.0,0.0,0.4578,0.0035,0,0,0,0,0,-0.5511,-0.0924,0,0,0,0,0,0,alert,0
1782322303.3101,subject_01,2,18.96,0.399,8.86,25.98,48.47,18.18,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919,0.0779,0.0,0.6946,0.3592,0.7078,0.0,0.0,0.3323,0.0287,0,0,0,0,0,-0.4985,-0.0376,0,0.0,0,0,0,0.0,alert,0
1782322303.3854,subject_01,3,20.73,0.476,9.96,25.29,57.31,17.12,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2703,0.1592,0.0,0.6802,0.3819,0.8897,0.0,0.0,0.3734,0.0109,0,0,0,0,0,-0.4756,0.0428,0.0,0.0,0,0.0,0,0.0,alert,0
1782322303.4595,subject_01,4,18.77,0.529,8.66,25.97,49.19,14.89,22.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3052,0.1388,0.0,0.7035,0.3778,0.8546,0.0,0.0,0.3249,0.0142,0,0,0,0,0,-0.471,0.0165,0,0.0,0,0,0,0.0,alert,0
1782322303.5285,subject_01,5,17.37,0.567,7.04,25.46,42.18,15.78,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799,0.1596,0.0,0.6866,0.3906,0.9434,0.0,0.0,0.2641,0.0056,0,0,0,0,0,-0.4195,0.0815,0.0012,0.0,0,0.0,0,0.0,alert,0
1782322303.5896,subject_01,6,16.77,0.6,6.85,25.45,39.75,14.27,24.51,0.0,0.0,0.0058,0.0,0.0,0.0,0.0,0.2666,0.1711,0.0,0.6777,0.3948,0.9762,0.0,0.0,0.2571,0.0024,0,0,0,0,0,-0.4195,0.0815,0.001,0.0333,0,0.0,0.0,0.0,alert,0
1782322303.6512,subject_01,7,17.35,0.627,8.15,25.57,39.82,14.9,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2846,0.1666,0.0,0.6897,0.3954,0.9775,0.0,0.0,0.3057,0.0022,0,0,0,0,0,-0.4273,0.1043,0.001,0.0667,0,0.006,0.0242,0.0,alert,0
1782322303.731,subject_01,8,16.3,0.648,6.54,26.13,35.67,15.28,24.44,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.2792,0.1576,0.0,0.6861,0.395,0.9712,0.0,0.0,0.2454,0.0028,0,0,0,0,0,-0.3532,0.1138,0.0021,0.1,0,0.0198,0.0748,0.0,alert,0
1782322303.7896,subject_01,9,16.02,0.67,6.57,25.9,34.84,14.59,24.25,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.2693,0.1603,0.0,0.6795,0.3932,0.9612,0.0,0.0,0.2463,0.0039,0,0,0,0,0,-0.3532,0.1138,0.0025,0.1333,0,0.0165,0.0748,0.0,alert,0
1782322303.8417,subject_01,10,16.34,0.693,7.79,25.47,35.72,15.17,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2786,0.1639,0.0,0.6858,0.3705,0.8223,0.0,0.0,0.2922,0.0176,0,0,0,0,0,-0.3975,0.119,0.0023,0.1667,0,0.0205,0.0748,0.0,alert,0
